email,label
Your account has been suspended. Click here to verify your password immediately.,phishing
Congratulations! You have won a free iPhone. Claim your prize now.,phishing
Urgent! Your bank account will be blocked. Login using the link below.,phishing
Verify your account now or your service will be terminated.,phishing
You have received a secure message. Click here to view it.,phishing
Your PayPal account has unusual activity. Confirm your identity now.,phishing
Limited time offer! Claim your free reward by entering your card details.,phishing
Your password expired. Update it immediately using this link.,phishing
Security alert: Login detected from unknown device. Verify now.,phishing
Your account needs verification. Failure to verify will block access.,phishing
"Dear user, click the attached link to restore your email access.",phishing
Important bank notice: Confirm your PIN and account number.,phishing
Your package delivery failed. Pay small fee to reschedule.,phishing
Netflix billing failed. Update payment details to avoid suspension.,phishing
You are selected for a cash reward. Submit your information now.,phishing
Your cloud storage is full. Login here to keep your files.,phishing
ATM card blocked. Reactivate by entering OTP and password.,phishing
Final warning: Your account will be deleted today.,phishing
Unusual login attempt. Click here to secure your account.,phishing
You won a lottery. Send your details to receive the amount.,phishing
Meeting is scheduled for tomorrow at 10 AM.,safe
Please find attached the project report for review.,safe
Your order has been shipped and will arrive tomorrow.,safe
Can we discuss the assignment after class?,safe
The college circular has been updated on the portal.,safe
Reminder: Submit your lab record before Friday.,safe
Your library book is due next week.,safe
The webinar link will be shared before the session.,safe
Please review the meeting minutes attached below.,safe
Your electricity bill has been generated successfully.,safe
Team lunch is planned for Saturday afternoon.,safe
The exam timetable has been released by the department.,safe
Your appointment with the doctor is confirmed.,safe
Thank you for attending the workshop.,safe
Please complete the feedback form by evening.,safe
Your train ticket booking is confirmed.,safe
The software update was installed successfully.,safe
Your monthly bank statement is available for download.,safe
Class has been rescheduled to 2 PM.,safe
Your parcel has been delivered successfully.,safe
